Filename	Total_AAs	Polar_Charged_Percent	Hydrophobic_Percent	ALA_Percent	ARG_Percent	ASN_Percent	ASP_Percent	CYS_Percent	GLN_Percent	GLU_Percent	HIS_Percent	ILE_Percent	LEU_Percent	LYS_Percent	MET_Percent	PHE_Percent	PRO_Percent	SER_Percent	THR_Percent	TRP_Percent	TYR_Percent	VAL_Percent
6E98_K5VRK4_structure_0001_0001.pdb	84	46.43	40.48	5.95	0.00	3.57	9.52	9.52	3.57	2.38	0.00	7.14	10.71	0.00	0.00	0.00	4.76	10.71	7.14	1.19	0.00	10.71
6E9M_R9A9N7_structure_0001_0001.pdb	90	56.67	32.22	3.33	0.00	4.44	7.78	8.89	4.44	7.78	1.11	8.89	8.89	6.67	0.00	0.00	4.44	5.56	10.00	1.11	0.00	5.56
6GCJ_B0Y4B1_structure_0001_0001.pdb	121	47.93	39.67	6.61	0.83	4.96	7.44	6.61	7.44	2.48	0.00	10.74	11.57	5.79	0.00	1.65	4.96	6.61	4.96	0.00	0.83	4.13
7S7S_D8QCG9_structure_0001_0001.pdb	81	56.79	33.33	2.47	0.00	7.41	4.94	9.88	2.47	1.23	2.47	4.94	13.58	7.41	0.00	0.00	6.17	8.64	9.88	0.00	2.47	6.17
7S86_D8QCG9_structure_0001_0001.pdb	83	56.63	32.53	2.41	0.00	7.23	4.82	9.64	2.41	1.20	2.41	4.82	13.25	7.23	0.00	0.00	6.02	9.64	9.64	0.00	2.41	6.02

### Folder: domains_rosetta_scoring_ACP ###
1hy8_clean_0001_0001.pdb	76	53.95	42.11	9.21	2.63	2.63	15.79	0.00	3.95	14.47	0.00	6.58	9.21	5.26	2.63	2.63	0.00	3.95	3.95	0.00	1.32	11.84
1l0h_clean_0001_0001.pdb	76	56.58	38.16	7.89	1.32	3.95	7.89	0.00	5.26	18.42	1.32	9.21	6.58	5.26	1.32	2.63	1.32	3.95	7.89	0.00	1.32	9.21
1t8k_clean_0001_0001.pdb	77	55.84	38.96	9.09	1.30	3.90	7.79	0.00	5.19	18.18	1.30	9.09	6.49	5.19	1.30	2.60	1.30	3.90	7.79	0.00	1.30	9.09
2ehs_clean_0001_0001.pdb	75	50.67	44.00	6.67	1.33	1.33	8.00	0.00	2.67	21.33	0.00	10.67	8.00	9.33	1.33	4.00	2.67	2.67	2.67	0.00	1.33	10.67
2fac_clean_0001_0001.pdb	77	55.84	38.96	9.09	1.30	3.90	7.79	0.00	5.19	18.18	1.30	9.09	6.49	5.19	1.30	2.60	1.30	3.90	7.79	0.00	1.30	9.09
2k92_clean_0001_0001.pdb	77	55.84	38.96	9.09	1.30	3.90	7.79	0.00	6.49	16.88	1.30	9.09	6.49	5.19	1.30	2.60	1.30	3.90	7.79	0.00	1.30	9.09
2l0q_clean_0001_0001.pdb	80	53.75	42.50	8.75	1.25	3.75	10.00	0.00	3.75	17.50	1.25	8.75	7.50	5.00	1.25	2.50	2.50	5.00	5.00	0.00	1.25	11.25
7e42_clean_0001_0001.pdb	76	55.26	40.79	7.89	1.32	3.95	13.16	0.00	5.26	11.84	0.00	7.89	9.21	6.58	2.63	3.95	1.32	6.58	5.26	0.00	1.32	7.89

### Folder: domains_rosetta_scoring_SH3 ###
1k76_clean_0001_0001.pdb	60	53.33	40.00	5.00	5.00	13.33	6.67	0.00	5.00	6.67	0.00	5.00	6.67	5.00	0.00	8.33	6.67	5.00	3.33	3.33	3.33	5.00
1nyf_clean_0001_0001.pdb	58	55.17	37.93	6.90	3.45	3.45	6.90	0.00	1.72	10.34	1.72	3.45	8.62	3.45	0.00	5.17	3.45	8.62	8.62	3.45	6.90	6.90
1zlm_clean_0001_0001.pdb	58	55.17	36.21	3.45	5.17	3.45	6.90	0.00	3.45	8.62	0.00	6.90	5.17	5.17	1.72	5.17	5.17	5.17	10.34	3.45	6.90	5.17
2a08_clean_0001_0001.pdb	59	47.46	42.37	11.86	3.39	6.78	6.78	0.00	3.39	3.39	0.00	5.08	5.08	8.47	1.69	5.08	3.39	5.08	6.78	3.39	3.39	6.78
2hda_clean_0001_0001.pdb	59	52.54	38.98	10.17	5.08	6.78	5.08	0.00	1.69	8.47	0.00	8.47	3.39	5.08	0.00	5.08	3.39	5.08	8.47	3.39	6.78	5.08
2vvk_clean_0001_0001.pdb	56	48.21	39.29	3.57	5.36	7.14	10.71	1.79	5.36	3.57	3.57	1.79	3.57	1.79	3.57	8.93	7.14	3.57	3.57	3.57	1.79	7.14
3c0c_clean_0001_0001.pdb	64	48.44	42.19	1.56	1.56	4.69	7.81	1.56	7.81	9.38	1.56	3.12	14.06	1.56	1.56	6.25	9.38	4.69	3.12	1.56	4.69	4.69
3i35_clean_0001_0001.pdb	57	56.14	35.09	8.77	5.26	3.51	14.04	0.00	5.26	7.02	0.00	5.26	1.75	1.75	3.51	1.75	1.75	3.51	7.02	1.75	8.77	10.53
3ua6_clean_0001_0001.pdb	57	56.14	36.84	7.02	3.51	3.51	7.02	0.00	1.75	10.53	1.75	3.51	8.77	3.51	0.00	5.26	3.51	8.77	8.77	3.51	7.02	5.26
4jz4_clean_0001_0001.pdb	60	58.33	33.33	5.00	3.33	5.00	5.00	0.00	3.33	6.67	3.33	3.33	8.33	3.33	1.67	3.33	3.33	10.00	11.67	3.33	6.67	5.00
5nv1_clean_0001_0001.pdb	60	46.67	41.67	8.33	5.00	3.33	13.33	1.67	3.33	5.00	1.67	11.67	5.00	1.67	3.33	3.33	3.33	1.67	3.33	3.33	6.67	3.33
7a2j_clean_0001_0001.pdb	58	56.90	36.21	6.90	3.45	3.45	8.62	0.00	1.72	10.34	1.72	3.45	8.62	3.45	0.00	5.17	3.45	8.62	8.62	3.45	6.90	5.17
7jt9_clean_0001_0001.pdb	63	53.97	38.10	6.35	3.17	4.76	7.94	1.59	0.00	7.94	1.59	6.35	7.94	4.76	1.59	4.76	3.17	7.94	9.52	3.17	4.76	4.76
